sample_group,wwtp_name,sample_collect_time,lod_sewage,county_names,zipcode,population_served,sample_location,pcr_target_units,concentration_method,extraction_method,institution_type,pcr_type,hum_frac_target_chem,hum_frac_target_mic,hum_frac_chem_unit,other_norm_units,hum_frac_mic_unit,num_no_target_control,other_norm_name,pcr_target,quant_stan_type,rec_eff_spike_matrix,rec_eff_target_name,rec_eff_spike_conc,reporting_jurisdiction,sample_location.1,sample_matrix,sample_type,solids_separation,wwtp_jurisdiction,ntc_amplify,stormwater_input,influent_equilibrated,pretreatment,ext_blank,pasteurized,inhibition_adjust,inhibition_detect,lod_ref
NorthEast,NE WPCP,,11574.07,Philadelphia,19137,1004057,wwtp,copies/L wastewater,ceres nanotrap,thermo magmax wastewater ultra nucleic acid isolation kit,not institution specific,ddpcr,,,,,,more than 3,,sars-cov-2,rna,raw sample,heat inactivated sars-cov-2 virus,3.18,PH,wwtp,raw wastewater,24-hr flow weighted composite,none,PA,no,no,no,no,yes,no,no,not tested,LLOD/100mL= (0.5cp/ul) x (20uL ddPCR rxn vol/9uL ddPCR input vol) x (100uL extraction output vol / 400uL extraction input vol) x (400uL concentration output vol / 9600uL concentration input vol) * 1000000 uL / 1 L
SouthEast,SE WPCP,,11574.07,Philadelphia,19148,291524,wwtp,copies/L wastewater,ceres nanotrap,thermo magmax wastewater ultra nucleic acid isolation kit,not institution specific,ddpcr,,,,,,more than 3,,sars-cov-2,rna,raw sample,heat inactivated sars-cov-2 virus,3.18,PH,wwtp,raw wastewater,24-hr flow weighted composite,none,PA,no,no,no,no,yes,no,no,not tested,LLOD/100mL= (0.5cp/ul) x (20uL ddPCR rxn vol/9uL ddPCR input vol) x (100uL extraction output vol / 400uL extraction input vol) x (400uL concentration output vol / 9600uL concentration input vol) * 1000000 uL / 1 L
SouthWest,SW WPCP,,11574.07,Philadelphia,19153,517309,wwtp,copies/L wastewater,ceres nanotrap,thermo magmax wastewater ultra nucleic acid isolation kit,not institution specific,ddpcr,,,,,,more than 3,,sars-cov-2,rna,raw sample,heat inactivated sars-cov-2 virus,3.18,PH,wwtp,raw wastewater,24-hr flow weighted composite,none,PA,no,no,no,no,yes,no,no,not tested,LLOD/100mL= (0.5cp/ul) x (20uL ddPCR rxn vol/9uL ddPCR input vol) x (100uL extraction output vol / 400uL extraction input vol) x (400uL concentration output vol / 9600uL concentration input vol) * 1000000 uL / 1 L
